GPU field configuration:
1.00e+00 1.00e+00 1.00e+00 1.00e+00 
1.00e+00 1.00e+00 1.00e+00 1.00e+00 
1.00e+00 1.00e+00 1.00e+00 1.00e+00 
1.00e+00 1.00e+00 1.00e+00 1.00e+00 


0.00e+00 0.00e+00 0.00e+00 0.00e+00 
0.00e+00 2.67e-01 2.67e-01 0.00e+00 
0.00e+00 2.67e-01 2.67e-01 0.00e+00 
0.00e+00 0.00e+00 0.00e+00 0.00e+00 


0.00e+00 0.00e+00 0.00e+00 0.00e+00 
0.00e+00 6.67e-02 6.67e-02 0.00e+00 
0.00e+00 6.67e-02 6.67e-02 0.00e+00 
0.00e+00 0.00e+00 0.00e+00 0.00e+00 


0.00e+00 0.00e+00 0.00e+00 0.00e+00 
0.00e+00 0.00e+00 0.00e+00 0.00e+00 
0.00e+00 0.00e+00 0.00e+00 0.00e+00 
0.00e+00 0.00e+00 0.00e+00 0.00e+00 


