T=2.00000e+00  B=0.00000e+00  ns=16384  E_exact=-1.74556e+00  M_exact=9.11319e-01
     E           M        
--------------------------
-1.75488e+00  9.13452e-01
-1.74731e+00  9.13330e-01
-1.76196e+00  9.12231e-01
-1.77637e+00  9.25049e-01
-1.76685e+00  9.20898e-01
-1.75659e+00  9.14551e-01
-1.74634e+00  9.11011e-01
-1.74438e+00  9.12354e-01
-1.74097e+00  9.09180e-01
-1.73975e+00  9.10400e-01
-1.77637e+00  9.22363e-01
-1.75488e+00  9.15649e-01
-1.75391e+00  9.19067e-01
-1.74316e+00  9.15161e-01
-1.75903e+00  9.20898e-01
-1.76221e+00  9.15649e-01
-1.74365e+00  9.11255e-01
-1.74463e+00  9.09058e-01
-1.74146e+00  9.17114e-01
-1.71606e+00  8.93677e-01
-1.73926e+00  9.12964e-01
-1.71411e+00  8.92212e-01
-1.74731e+00  9.15894e-01
-1.72559e+00  9.04663e-01
-1.74243e+00  9.04175e-01
-1.72705e+00  9.00513e-01
-1.72437e+00  8.98682e-01
-1.73242e+00  9.08081e-01
-1.73462e+00  9.10645e-01
-1.74365e+00  9.13330e-01
-1.74805e+00  9.05640e-01
-1.75781e+00  9.19678e-01
-1.72339e+00  9.05151e-01
-1.73560e+00  9.06738e-01
-1.73633e+00  9.12231e-01
-1.73511e+00  9.07349e-01
-1.75293e+00  9.13452e-01
-1.74316e+00  9.14307e-01
-1.76318e+00  9.17725e-01
-1.74854e+00  9.16626e-01
-1.73877e+00  9.07349e-01
-1.75488e+00  9.20166e-01
-1.76465e+00  9.21387e-01
-1.73389e+00  9.08081e-01
-1.74976e+00  9.15039e-01
-1.74463e+00  9.11255e-01
-1.76001e+00  9.16382e-01
-1.73560e+00  9.07104e-01
-1.76978e+00  9.21997e-01
-1.75562e+00  9.17603e-01
-1.74561e+00  9.13818e-01
-1.76099e+00  9.10889e-01
-1.75244e+00  9.16138e-01
-1.75024e+00  9.15771e-01
-1.75562e+00  9.20044e-01
-1.77661e+00  9.23706e-01
-1.75513e+00  9.12354e-01
-1.75513e+00  9.16992e-01
-1.76245e+00  9.19800e-01
-1.73975e+00  9.10522e-01
-1.75122e+00  9.14307e-01
-1.74390e+00  9.05762e-01
-1.74146e+00  9.10645e-01
-1.76099e+00  9.18213e-01
-1.74219e+00  9.09180e-01
-1.72241e+00  9.02588e-01
-1.77124e+00  9.23584e-01
-1.74097e+00  9.15771e-01
-1.72803e+00  8.97217e-01
-1.74365e+00  9.08813e-01
-1.75684e+00  9.18579e-01
-1.75000e+00  9.11133e-01
-1.73975e+00  9.10767e-01
-1.77051e+00  9.22852e-01
-1.73975e+00  9.10400e-01
-1.74805e+00  9.09546e-01
-1.74756e+00  9.06860e-01
-1.74756e+00  9.09546e-01
-1.76855e+00  9.18701e-01
-1.75146e+00  9.13818e-01
-1.75073e+00  9.10522e-01
-1.73901e+00  9.06982e-01
-1.74146e+00  9.14307e-01
-1.75586e+00  9.17114e-01
-1.74878e+00  9.16504e-01
-1.74927e+00  9.10034e-01
-1.75708e+00  9.18091e-01
-1.74707e+00  9.17969e-01
-1.72363e+00  8.93311e-01
-1.73145e+00  9.04297e-01
-1.75293e+00  9.15649e-01
-1.77197e+00  9.24561e-01
-1.75879e+00  9.16260e-01
-1.75024e+00  9.12598e-01
-1.73389e+00  9.06372e-01
-1.71997e+00  9.03931e-01
-1.75049e+00  9.15527e-01
-1.74561e+00  9.13940e-01
-1.74756e+00  9.12964e-01
-1.75732e+00  9.15649e-01
-1.76367e+00  9.20654e-01
-1.73877e+00  9.04663e-01
-1.75415e+00  9.14062e-01
-1.72144e+00  9.01733e-01
-1.73022e+00  9.07227e-01
-1.74121e+00  9.11133e-01
-1.74023e+00  9.11621e-01
-1.73462e+00  9.05273e-01
-1.73706e+00  9.10889e-01
-1.74292e+00  9.07715e-01
-1.75024e+00  9.18579e-01
-1.74927e+00  9.11743e-01
-1.75317e+00  9.17236e-01
-1.73096e+00  9.06860e-01
-1.74658e+00  9.07104e-01
-1.73242e+00  9.09058e-01
-1.73145e+00  9.01855e-01
-1.75610e+00  9.17358e-01
-1.73535e+00  9.12354e-01
-1.75903e+00  9.19312e-01
-1.74927e+00  9.13696e-01
-1.73706e+00  9.08081e-01
-1.72241e+00  8.98560e-01
-1.74243e+00  9.08203e-01
-1.75537e+00  9.16992e-01
-1.72998e+00  9.00513e-01
-1.71362e+00  8.97583e-01
-1.75732e+00  9.19556e-01
-1.75586e+00  9.19678e-01
-1.75122e+00  9.04541e-01
-1.74634e+00  9.09668e-01
-1.73047e+00  9.01367e-01
-1.74609e+00  9.02954e-01
-1.75879e+00  9.18823e-01
-1.75903e+00  9.14917e-01
-1.77026e+00  9.23706e-01
-1.76147e+00  9.22241e-01
-1.75146e+00  9.09058e-01
-1.74927e+00  9.10400e-01
-1.75317e+00  9.11499e-01
-1.73901e+00  9.11011e-01
-1.74683e+00  9.16748e-01
-1.76440e+00  9.22363e-01
-1.76880e+00  9.21143e-01
-1.72534e+00  8.99658e-01
-1.75903e+00  9.14062e-01
-1.73901e+00  9.05884e-01
-1.71484e+00  8.90137e-01
-1.74829e+00  9.08691e-01
-1.76270e+00  9.20532e-01
-1.71753e+00  9.01367e-01
-1.73901e+00  9.10522e-01
-1.74756e+00  9.19922e-01
-1.71460e+00  9.03076e-01
-1.75195e+00  9.10522e-01
-1.74097e+00  9.09180e-01
-1.72852e+00  9.06250e-01
-1.75513e+00  9.15405e-01
-1.74707e+00  9.05640e-01
-1.74707e+00  9.08203e-01
-1.76343e+00  9.19067e-01
-1.76270e+00  9.16992e-01
-1.74536e+00  9.09180e-01
-1.76538e+00  9.22852e-01
-1.75415e+00  9.19556e-01
-1.75757e+00  9.20898e-01
-1.73242e+00  8.97217e-01
-1.75317e+00  9.19800e-01
-1.73608e+00  9.09912e-01
-1.74756e+00  9.13452e-01
-1.77759e+00  9.25415e-01
-1.73413e+00  9.07837e-01
-1.74780e+00  9.07715e-01
-1.73462e+00  9.05884e-01
-1.74463e+00  9.09790e-01
-1.74805e+00  9.13940e-01
-1.73438e+00  9.01978e-01
-1.74634e+00  9.15283e-01
-1.75269e+00  9.13208e-01
-1.73267e+00  9.04907e-01
-1.73218e+00  9.04419e-01
-1.75244e+00  9.10889e-01
-1.75220e+00  9.12720e-01
-1.75488e+00  9.17480e-01
-1.73413e+00  9.04663e-01
-1.74365e+00  9.09302e-01
-1.74365e+00  9.15405e-01
-1.76440e+00  9.19556e-01
-1.73364e+00  9.09302e-01
-1.74072e+00  9.11621e-01
-1.74341e+00  9.10767e-01
-1.74438e+00  9.10645e-01
-1.73511e+00  9.07104e-01
-1.74805e+00  9.10522e-01
-1.75122e+00  9.15527e-01
-1.75244e+00  9.13940e-01
-1.74048e+00  9.11987e-01
-1.73438e+00  9.08447e-01
-1.72656e+00  9.00391e-01
-1.73853e+00  9.05762e-01
-1.73511e+00  9.06982e-01
-1.75928e+00  9.15527e-01
-1.75708e+00  9.17480e-01
-1.73608e+00  9.09302e-01
-1.74072e+00  9.12720e-01
-1.73340e+00  9.02832e-01
-1.73755e+00  9.05640e-01
-1.74023e+00  9.07593e-01
-1.75586e+00  9.16992e-01
-1.75342e+00  9.14429e-01
-1.75854e+00  9.20654e-01
-1.75293e+00  9.14795e-01
-1.74585e+00  9.06494e-01
-1.74268e+00  9.12964e-01
-1.74487e+00  9.09668e-01
-1.72803e+00  8.99048e-01
-1.75415e+00  9.13574e-01
-1.75635e+00  9.12598e-01
-1.74512e+00  9.11621e-01
-1.76172e+00  9.21021e-01
-1.75806e+00  9.20044e-01
-1.75220e+00  9.10400e-01
-1.75000e+00  9.14185e-01
-1.73413e+00  9.07349e-01
-1.75024e+00  9.11743e-01
-1.72021e+00  8.97461e-01
-1.72632e+00  9.03076e-01
-1.72632e+00  9.06982e-01
-1.73901e+00  9.06738e-01
-1.73584e+00  9.06860e-01
-1.75464e+00  9.13940e-01
-1.71997e+00  8.96240e-01
-1.75269e+00  9.10522e-01
-1.75488e+00  9.19800e-01
-1.74463e+00  9.14185e-01
-1.73999e+00  9.08813e-01
-1.76196e+00  9.25781e-01
-1.77173e+00  9.20288e-01
-1.75195e+00  9.13086e-01
-1.77954e+00  9.23096e-01
-1.73389e+00  9.10400e-01
-1.74536e+00  9.08936e-01
-1.74731e+00  9.13452e-01
-1.72925e+00  9.07227e-01
-1.73120e+00  9.08569e-01
-1.74707e+00  9.12109e-01
-1.73486e+00  9.07227e-01
-1.73975e+00  9.12964e-01
-1.75684e+00  9.16138e-01
-1.73462e+00  9.08569e-01
-1.73853e+00  9.10034e-01
-1.76196e+00  9.13574e-01
-1.75562e+00  9.10645e-01
-1.74365e+00  9.09058e-01
-1.78174e+00  9.27734e-01
-1.73071e+00  9.07593e-01
-1.73999e+00  9.10278e-01
-1.72900e+00  8.98804e-01
-1.75146e+00  9.12476e-01
-1.75342e+00  9.15894e-01
-1.76831e+00  9.21753e-01
-1.74072e+00  9.09912e-01
-1.76270e+00  9.16870e-01
-1.76025e+00  9.22241e-01
-1.74951e+00  9.12109e-01
-1.77197e+00  9.22729e-01
-1.77563e+00  9.23950e-01
-1.71582e+00  8.96973e-01
-1.75879e+00  9.19312e-01
-1.74878e+00  9.10278e-01
-1.75464e+00  9.16260e-01
-1.73755e+00  9.09912e-01
-1.74634e+00  9.14429e-01
-1.74634e+00  9.14307e-01
-1.74658e+00  9.12109e-01
-1.72412e+00  9.04053e-01
-1.75000e+00  9.14062e-01
-1.73242e+00  9.02954e-01
-1.74414e+00  9.00391e-01
-1.73364e+00  9.06982e-01
-1.72192e+00  9.03564e-01
-1.73169e+00  9.03809e-01
-1.73706e+00  9.08691e-01
-1.74756e+00  9.11987e-01
-1.75854e+00  9.15771e-01
-1.75586e+00  9.13574e-01
-1.74805e+00  9.13574e-01
-1.74634e+00  9.08691e-01
-1.73340e+00  9.08325e-01
-1.75488e+00  9.14307e-01
-1.74316e+00  9.09424e-01
-1.74487e+00  9.11255e-01
-1.72607e+00  9.01733e-01
-1.75464e+00  9.17969e-01
-1.75732e+00  9.17847e-01
-1.75659e+00  9.18335e-01
-1.76880e+00  9.25293e-01
-1.74194e+00  9.10889e-01
-1.74731e+00  9.12109e-01
-1.76074e+00  9.17725e-01
-1.75659e+00  9.16992e-01
-1.76904e+00  9.20532e-01
-1.76367e+00  9.21387e-01
-1.74365e+00  9.13940e-01
-1.74268e+00  9.13574e-01
-1.75049e+00  9.08325e-01
-1.76782e+00  9.23584e-01
-1.73364e+00  9.06494e-01
-1.73120e+00  9.07959e-01
-1.76001e+00  9.17603e-01
-1.75220e+00  9.13452e-01
-1.73315e+00  9.05884e-01
-1.75244e+00  9.20288e-01
-1.74536e+00  9.13696e-01
-1.75073e+00  9.14307e-01
-1.75903e+00  9.14429e-01
-1.77368e+00  9.22974e-01
-1.72974e+00  9.01367e-01
-1.73340e+00  9.02344e-01
-1.76465e+00  9.21387e-01
-1.75439e+00  9.20288e-01
-1.77124e+00  9.23706e-01
-1.76270e+00  9.15771e-01
-1.74097e+00  9.09790e-01
-1.75317e+00  9.16870e-01
-1.75781e+00  9.15527e-01
-1.73389e+00  9.06128e-01
-1.75439e+00  9.12964e-01
-1.75537e+00  9.18701e-01
-1.74414e+00  9.14062e-01
-1.72852e+00  9.00391e-01
-1.75879e+00  9.16992e-01
-1.74048e+00  9.10034e-01
-1.75122e+00  9.11377e-01
-1.74170e+00  9.14673e-01
-1.76367e+00  9.22974e-01
-1.77002e+00  9.25537e-01
-1.77026e+00  9.23706e-01
-1.73901e+00  9.12842e-01
-1.74048e+00  9.05762e-01
-1.74121e+00  9.11865e-01
-1.71777e+00  9.00391e-01
-1.71484e+00  8.97827e-01
-1.73828e+00  9.13696e-01
-1.77344e+00  9.27612e-01
-1.76978e+00  9.20166e-01
-1.73242e+00  9.12476e-01
-1.73535e+00  9.08325e-01
-1.74805e+00  9.14917e-01
-1.75000e+00  9.14673e-01
-1.73364e+00  9.04297e-01
-1.74951e+00  9.11987e-01
-1.74707e+00  9.08936e-01
-1.72266e+00  9.00146e-01
-1.75146e+00  9.12354e-01
-1.70972e+00  8.87085e-01
-1.75415e+00  9.19922e-01
-1.73633e+00  9.09424e-01
-1.75366e+00  9.14551e-01
-1.72998e+00  9.03198e-01
-1.75781e+00  9.10889e-01
-1.74341e+00  9.12231e-01
-1.73779e+00  9.02344e-01
-1.74341e+00  9.11987e-01
-1.73828e+00  9.06494e-01
-1.74194e+00  9.06494e-01
-1.75098e+00  9.12109e-01
-1.75122e+00  9.15527e-01
-1.73853e+00  9.06494e-01
-1.75122e+00  9.15283e-01
-1.73486e+00  9.08081e-01
-1.75366e+00  9.16016e-01
-1.74927e+00  9.20898e-01
-1.72998e+00  9.08813e-01
-1.73413e+00  9.09546e-01
-1.74805e+00  9.17480e-01
-1.74512e+00  9.08691e-01
-1.74390e+00  9.03198e-01
-1.76025e+00  9.17480e-01
-1.74658e+00  9.11377e-01
-1.74316e+00  9.12109e-01
-1.73120e+00  9.03687e-01
-1.74951e+00  9.11743e-01
-1.74194e+00  9.11865e-01
-1.75586e+00  9.15405e-01
-1.74292e+00  9.10400e-01
-1.74390e+00  9.15649e-01
-1.75220e+00  9.14429e-01
-1.72192e+00  9.05518e-01
-1.73950e+00  9.09790e-01
-1.75366e+00  9.11011e-01
-1.73828e+00  9.02710e-01
-1.75488e+00  9.15283e-01
-1.74585e+00  9.14062e-01
-1.72876e+00  9.00757e-01
-1.73120e+00  9.10278e-01
-1.73242e+00  9.02588e-01
-1.74438e+00  9.06372e-01
-1.74512e+00  9.07959e-01
-1.73926e+00  9.07104e-01
-1.75562e+00  9.22485e-01
