Histogram (CPU):
-9.696970 0 
-9.090909 0 
-8.484848 0 
-7.878788 0 
-7.272727 0 
-6.666667 0 
-6.060606 0 
-5.454545 5 
-4.848485 99 
-4.242424 1559 
-3.636364 15729 
-3.030303 113053 
-2.424242 563761 
-1.818182 1962843 
-1.212121 4784050 
-0.606060 8161313 
0.000000 9758491 
0.606061 8162147 
1.212121 4779688 
1.818182 1963511 
2.424243 562914 
3.030303 113454 
3.636364 15710 
4.242424 1561 
4.848485 105 
5.454546 7 
6.060606 0 
6.666667 0 
7.272728 0 
7.878788 0 
8.484849 0 
9.090910 0 
9.696970 0 
