T=2.26900e+00  B=0.00000e+00  ns=262144  E_exact=-1.41511e+00  M_exact=3.76889e-01
     E           M        
--------------------------
-1.40974e+00  -1.75430e-01
-1.40556e+00  -1.74042e-01
-1.41350e+00  -1.78017e-01
-1.41075e+00  -1.87996e-01
-1.41037e+00  -1.91292e-01
-1.41118e+00  -1.95152e-01
-1.40916e+00  -1.85486e-01
-1.40840e+00  -1.91277e-01
-1.40445e+00  -1.87416e-01
-1.40305e+00  -1.91132e-01
-1.40981e+00  -1.82343e-01
-1.40216e+00  -1.83006e-01
-1.40822e+00  -1.78864e-01
-1.41504e+00  -1.85448e-01
-1.42104e+00  -1.88286e-01
-1.41592e+00  -1.85104e-01
-1.41730e+00  -2.01408e-01
-1.41437e+00  -2.01530e-01
-1.41498e+00  -1.93428e-01
-1.40656e+00  -1.85616e-01
-1.40857e+00  -1.86775e-01
-1.40822e+00  -1.99699e-01
-1.41808e+00  -2.00729e-01
-1.41496e+00  -2.13356e-01
-1.41690e+00  -2.10228e-01
-1.40749e+00  -2.09335e-01
-1.41771e+00  -2.02400e-01
-1.40625e+00  -2.03827e-01
-1.41290e+00  -1.98723e-01
-1.42236e+00  -2.02408e-01
-1.41733e+00  -2.01988e-01
-1.40817e+00  -1.96701e-01
-1.41338e+00  -1.90788e-01
-1.41707e+00  -2.00706e-01
-1.41621e+00  -1.88576e-01
-1.40875e+00  -1.90002e-01
-1.42000e+00  -2.02942e-01
-1.42207e+00  -2.15904e-01
-1.42651e+00  -2.17865e-01
-1.42366e+00  -2.18887e-01
-1.41498e+00  -2.04758e-01
-1.41554e+00  -1.94054e-01
-1.41293e+00  -2.04002e-01
-1.41011e+00  -1.94847e-01
-1.41144e+00  -1.95175e-01
-1.41582e+00  -1.92749e-01
-1.41614e+00  -1.92436e-01
-1.40582e+00  -1.99112e-01
-1.41385e+00  -1.98677e-01
-1.41147e+00  -1.98120e-01
-1.40802e+00  -1.95335e-01
-1.41673e+00  -1.99982e-01
-1.40930e+00  -1.87210e-01
-1.41199e+00  -1.97342e-01
-1.41319e+00  -2.07031e-01
-1.40976e+00  -2.04445e-01
-1.40982e+00  -2.03285e-01
-1.41493e+00  -1.86813e-01
-1.40323e+00  -1.87737e-01
-1.41182e+00  -1.85417e-01
-1.41621e+00  -1.87111e-01
-1.41235e+00  -1.82190e-01
-1.41859e+00  -1.69853e-01
-1.41884e+00  -1.73279e-01
-1.41521e+00  -1.81931e-01
-1.40530e+00  -1.77826e-01
-1.40599e+00  -1.77948e-01
-1.40984e+00  -1.72356e-01
-1.40376e+00  -1.73950e-01
-1.41605e+00  -1.75430e-01
-1.42067e+00  -1.77094e-01
-1.41685e+00  -1.72707e-01
-1.41618e+00  -1.73950e-01
-1.41800e+00  -1.76666e-01
-1.42206e+00  -1.76384e-01
-1.41536e+00  -1.67847e-01
-1.40981e+00  -1.69456e-01
-1.40662e+00  -1.69075e-01
-1.41196e+00  -1.73775e-01
-1.41174e+00  -1.66779e-01
-1.41090e+00  -1.77704e-01
-1.40872e+00  -1.81335e-01
-1.40962e+00  -1.88744e-01
-1.41234e+00  -1.96587e-01
