Sweep,Energy density,Magnetization density
5000,-1.56940e+00,-8.02150e-01
5100,-1.54809e+00,-7.86973e-01
5200,-1.54470e+00,-7.81648e-01
5300,-1.54499e+00,-7.81071e-01
5400,-1.54488e+00,-7.81788e-01
5500,-1.54276e+00,-7.80438e-01
5600,-1.54215e+00,-7.79666e-01
5700,-1.54221e+00,-7.80696e-01
5800,-1.54183e+00,-7.80461e-01
5900,-1.54148e+00,-7.79910e-01
6000,-1.54153e+00,-7.80088e-01
6100,-1.54280e+00,-7.81686e-01
6200,-1.54284e+00,-7.82115e-01
6300,-1.54211e+00,-7.80891e-01
6400,-1.54232e+00,-7.81014e-01
6500,-1.54228e+00,-7.80686e-01
6600,-1.54255e+00,-7.79688e-01
6700,-1.54284e+00,-7.80425e-01
6800,-1.54286e+00,-7.80683e-01
6900,-1.54311e+00,-7.81414e-01
7000,-1.54392e+00,-7.82269e-01
7100,-1.54409e+00,-7.82340e-01
7200,-1.54444e+00,-7.82728e-01
7300,-1.54490e+00,-7.83489e-01
7400,-1.54507e+00,-7.83595e-01
7500,-1.54514e+00,-7.83642e-01
7600,-1.54535e+00,-7.83969e-01
7700,-1.54555e+00,-7.84195e-01
7800,-1.54517e+00,-7.83137e-01
7900,-1.54512e+00,-7.82500e-01
8000,-1.54530e+00,-7.82811e-01
8100,-1.54565e+00,-7.83262e-01
8200,-1.54578e+00,-7.83584e-01
8300,-1.54577e+00,-7.83750e-01
8400,-1.54559e+00,-7.83438e-01
8500,-1.54555e+00,-7.83489e-01
8600,-1.54534e+00,-7.82993e-01
8700,-1.54512e+00,-7.82734e-01
8800,-1.54557e+00,-7.83309e-01
8900,-1.54581e+00,-7.83632e-01
9000,-1.54586e+00,-7.83741e-01
9100,-1.54589e+00,-7.83842e-01
9200,-1.54597e+00,-7.83938e-01
9300,-1.54631e+00,-7.84390e-01
9400,-1.54645e+00,-7.84611e-01
9500,-1.54659e+00,-7.84898e-01
9600,-1.54656e+00,-7.84900e-01
9700,-1.54634e+00,-7.84712e-01
9800,-1.54642e+00,-7.84804e-01
9900,-1.54647e+00,-7.84912e-01
10000,-1.54642e+00,-7.84923e-01
10100,-1.54643e+00,-7.84927e-01
10200,-1.54635e+00,-7.84840e-01
10300,-1.54629e+00,-7.84731e-01
10400,-1.54631e+00,-7.84633e-01
10500,-1.54629e+00,-7.84566e-01
10600,-1.54617e+00,-7.84415e-01
10700,-1.54621e+00,-7.84547e-01
10800,-1.54629e+00,-7.84567e-01
10900,-1.54638e+00,-7.84754e-01
11000,-1.54640e+00,-7.84739e-01
11100,-1.54633e+00,-7.84642e-01
11200,-1.54631e+00,-7.84562e-01
11300,-1.54641e+00,-7.84708e-01
11400,-1.54656e+00,-7.84916e-01
11500,-1.54653e+00,-7.84866e-01
11600,-1.54656e+00,-7.84956e-01
11700,-1.54670e+00,-7.85223e-01
11800,-1.54664e+00,-7.85143e-01
11900,-1.54659e+00,-7.85126e-01
12000,-1.54660e+00,-7.85171e-01
12100,-1.54657e+00,-7.85204e-01
12200,-1.54673e+00,-7.85398e-01
12300,-1.54667e+00,-7.85430e-01
12400,-1.54659e+00,-7.85447e-01
12500,-1.54658e+00,-7.85498e-01
12600,-1.54646e+00,-7.85263e-01
12700,-1.54647e+00,-7.85233e-01
12800,-1.54646e+00,-7.85173e-01
12900,-1.54651e+00,-7.85287e-01
13000,-1.54656e+00,-7.85401e-01
13100,-1.54657e+00,-7.85368e-01
13200,-1.54645e+00,-7.85145e-01
13300,-1.54650e+00,-7.85233e-01
13400,-1.54638e+00,-7.84986e-01
13500,-1.54621e+00,-7.84631e-01
13600,-1.54620e+00,-7.84557e-01
13700,-1.54618e+00,-7.84566e-01
13800,-1.54619e+00,-7.84624e-01
13900,-1.54624e+00,-7.84695e-01
14000,-1.54632e+00,-7.84729e-01
14100,-1.54624e+00,-7.84675e-01
14200,-1.54624e+00,-7.84671e-01
14300,-1.54623e+00,-7.84557e-01
14400,-1.54623e+00,-7.84446e-01
14500,-1.54627e+00,-7.84551e-01
14600,-1.54632e+00,-7.84655e-01
14700,-1.54635e+00,-7.84701e-01
14800,-1.54630e+00,-7.84617e-01
14900,-1.54621e+00,-7.84385e-01
