T=2.30000e+00  B=0.00000e+00  Ns=40000  E_exact=-1.34287e+00  M_exact=0.00000e+00
     E           M        
--------------------------
-1.36090e+00  -9.91000e-02
-1.33860e+00  -1.25900e-01
-1.34620e+00  -1.49150e-01
-1.35300e+00  -1.45900e-01
-1.34300e+00  -1.46350e-01
-1.36370e+00  -1.37400e-01
-1.37450e+00  -1.20600e-01
-1.34990e+00  -1.32700e-01
-1.34500e+00  -1.50200e-01
-1.36630e+00  -1.49150e-01
-1.36450e+00  -1.61350e-01
-1.36770e+00  -1.66700e-01
-1.35760e+00  -1.83700e-01
-1.34040e+00  -1.82750e-01
-1.32510e+00  -1.47200e-01
-1.34320e+00  -1.14400e-01
-1.35770e+00  -1.15050e-01
-1.32330e+00  -1.33600e-01
-1.33550e+00  -1.24000e-01
-1.35280e+00  -6.40500e-02
-1.34600e+00  -7.14500e-02
-1.37980e+00  -6.40500e-02
-1.34660e+00  -5.29500e-02
-1.35890e+00  -5.97500e-02
-1.33780e+00  -6.12000e-02
-1.35260e+00  -3.09000e-02
-1.36030e+00  -5.45500e-02
-1.34680e+00  -3.77500e-02
-1.34840e+00  -2.70000e-03
-1.34750e+00  -5.38000e-02
-1.35570e+00  -4.84000e-02
-1.35540e+00  -6.77500e-02
-1.36320e+00  -8.54500e-02
-1.34410e+00  -1.22500e-01
-1.37060e+00  -1.27850e-01
-1.35920e+00  -8.82000e-02
-1.34190e+00  -7.46500e-02
-1.37070e+00  -3.44500e-02
-1.35980e+00  -1.51000e-02
-1.36690e+00  -4.20000e-03
-1.35380e+00  -4.95000e-03
-1.33380e+00  -6.79500e-02
-1.36450e+00  -6.72500e-02
-1.35740e+00  -7.19000e-02
-1.34690e+00  -1.01100e-01
-1.35310e+00  -8.68000e-02
-1.35160e+00  -6.68000e-02
-1.33200e+00  -7.51500e-02
-1.34520e+00  -1.02850e-01
-1.34890e+00  -1.15250e-01
-1.33890e+00  -1.19300e-01
-1.33450e+00  -1.23650e-01
-1.33030e+00  -4.57500e-02
-1.34910e+00  -4.55500e-02
-1.35760e+00  -2.40500e-02
-1.36180e+00  -5.56500e-02
-1.35760e+00  -4.09000e-02
-1.36150e+00  -4.38500e-02
-1.34010e+00  -2.15500e-02
-1.35010e+00  -6.65000e-03
-1.33940e+00  4.54000e-02
-1.34740e+00  3.31500e-02
-1.34860e+00  4.86500e-02
-1.34090e+00  6.93000e-02
-1.34610e+00  1.94500e-02
-1.34380e+00  5.26000e-02
-1.36180e+00  6.77000e-02
-1.34790e+00  8.15500e-02
-1.33240e+00  6.61000e-02
-1.32480e+00  6.76500e-02
-1.34770e+00  8.08000e-02
-1.33650e+00  8.54500e-02
-1.33270e+00  6.10000e-02
-1.31500e+00  1.01500e-01
-1.33280e+00  1.21250e-01
-1.32860e+00  1.19700e-01
-1.31980e+00  1.81850e-01
-1.33370e+00  1.48250e-01
-1.36040e+00  1.43650e-01
-1.33270e+00  1.52200e-01
-1.32520e+00  1.35300e-01
-1.32600e+00  1.29800e-01
-1.33460e+00  1.37650e-01
-1.33440e+00  1.40650e-01
-1.33960e+00  1.50550e-01
-1.32550e+00  1.29650e-01
-1.33090e+00  1.61750e-01
-1.31600e+00  1.56050e-01
-1.34350e+00  1.41950e-01
-1.32300e+00  1.90050e-01
-1.34110e+00  2.08200e-01
-1.35060e+00  2.14400e-01
-1.34530e+00  1.74250e-01
-1.32650e+00  1.49350e-01
-1.31940e+00  1.10850e-01
-1.31370e+00  9.17000e-02
-1.31610e+00  7.44000e-02
-1.32350e+00  9.36500e-02
-1.35040e+00  1.51300e-01
-1.34230e+00  1.53350e-01
-1.34260e+00  1.86600e-01
-1.35950e+00  1.84450e-01
-1.36040e+00  1.98150e-01
-1.36910e+00  2.19250e-01
-1.35260e+00  2.20300e-01
-1.35560e+00  2.47400e-01
-1.35520e+00  2.61700e-01
-1.33920e+00  2.27700e-01
-1.34330e+00  2.29200e-01
-1.34570e+00  2.51900e-01
-1.36920e+00  2.79950e-01
-1.35180e+00  2.87750e-01
-1.35250e+00  2.58900e-01
-1.33110e+00  2.92900e-01
-1.34580e+00  3.28400e-01
-1.34820e+00  3.47450e-01
-1.33760e+00  3.05400e-01
-1.34220e+00  2.93550e-01
-1.33420e+00  3.24600e-01
-1.34320e+00  2.75500e-01
-1.32840e+00  3.00900e-01
-1.33270e+00  3.06600e-01
-1.34710e+00  3.51100e-01
-1.33540e+00  3.41500e-01
-1.35180e+00  3.29050e-01
-1.35880e+00  2.98200e-01
-1.34700e+00  2.69000e-01
-1.35650e+00  3.02950e-01
-1.32740e+00  3.03850e-01
-1.35310e+00  2.97500e-01
-1.32650e+00  2.78550e-01
-1.36290e+00  2.94150e-01
-1.35520e+00  2.93000e-01
-1.34110e+00  2.89900e-01
-1.35250e+00  2.75950e-01
-1.33760e+00  2.63850e-01
-1.35230e+00  2.64900e-01
-1.33080e+00  2.65800e-01
-1.33750e+00  2.84900e-01
-1.34540e+00  2.69300e-01
-1.33720e+00  2.82600e-01
-1.34470e+00  2.57700e-01
-1.35670e+00  2.20150e-01
-1.32640e+00  1.90300e-01
-1.34200e+00  2.02800e-01
-1.35840e+00  2.19900e-01
-1.35120e+00  2.39650e-01
-1.34460e+00  2.18450e-01
-1.35730e+00  1.85700e-01
-1.35950e+00  2.08100e-01
-1.36550e+00  2.39550e-01
-1.37660e+00  2.47350e-01
-1.35050e+00  2.22650e-01
-1.36640e+00  1.92800e-01
-1.34560e+00  1.79450e-01
-1.34880e+00  1.83500e-01
-1.35660e+00  2.00500e-01
-1.34440e+00  2.00050e-01
-1.36330e+00  2.42750e-01
-1.35320e+00  2.29100e-01
-1.37190e+00  2.54100e-01
-1.36890e+00  2.15650e-01
-1.36240e+00  2.09700e-01
-1.33650e+00  1.73300e-01
-1.35260e+00  1.37550e-01
-1.33980e+00  1.29150e-01
-1.33510e+00  1.04400e-01
-1.33130e+00  8.71000e-02
-1.33880e+00  1.28400e-01
-1.36770e+00  1.24250e-01
-1.37940e+00  1.46050e-01
-1.33720e+00  1.57650e-01
-1.34670e+00  1.22100e-01
-1.32610e+00  1.42350e-01
-1.36290e+00  1.79000e-01
-1.34480e+00  1.79700e-01
-1.33540e+00  1.70650e-01
-1.33920e+00  2.01850e-01
-1.34870e+00  1.45550e-01
-1.30380e+00  1.46450e-01
-1.33570e+00  1.62700e-01
-1.34770e+00  1.60250e-01
-1.34120e+00  1.83450e-01
-1.34830e+00  1.43800e-01
-1.34870e+00  1.38300e-01
-1.35310e+00  1.18500e-01
-1.32850e+00  1.25650e-01
-1.33280e+00  1.20400e-01
-1.33790e+00  7.71000e-02
-1.33970e+00  1.20400e-01
-1.34760e+00  1.24000e-01
-1.33160e+00  1.48400e-01
-1.34490e+00  1.57200e-01
-1.36920e+00  1.56950e-01
-1.34660e+00  1.73050e-01
-1.35130e+00  2.04550e-01
-1.34920e+00  2.20250e-01
-1.36460e+00  2.03700e-01
-1.34270e+00  2.18300e-01
-1.33410e+00  1.84850e-01
-1.31090e+00  2.17150e-01
-1.32160e+00  2.13750e-01
-1.36160e+00  2.53850e-01
-1.34850e+00  2.35800e-01
-1.31320e+00  2.48200e-01
-1.30130e+00  2.34000e-01
-1.32300e+00  2.26150e-01
-1.30980e+00  2.08600e-01
-1.32010e+00  2.02200e-01
-1.31150e+00  1.93200e-01
-1.34290e+00  2.37950e-01
-1.34510e+00  2.81250e-01
-1.33030e+00  2.75450e-01
-1.34370e+00  2.59450e-01
-1.31320e+00  1.89300e-01
