T=2.26900e+00  B=0.00000e+00  Ns=40000  E_exact=-1.41511e+00  M_exact=3.76889e-01
     E           M        
--------------------------
-1.41690e+00  -2.83550e-01
-1.40770e+00  -2.87700e-01
-1.40820e+00  -2.79900e-01
-1.40270e+00  -2.91750e-01
-1.40640e+00  -3.26750e-01
-1.40720e+00  -3.13000e-01
-1.40980e+00  -2.82850e-01
-1.40300e+00  -2.93550e-01
-1.39590e+00  -3.20200e-01
-1.42100e+00  -3.32400e-01
-1.42170e+00  -3.39900e-01
-1.42190e+00  -3.34400e-01
-1.42040e+00  -3.35900e-01
-1.41200e+00  -3.03450e-01
-1.40960e+00  -3.06500e-01
-1.41470e+00  -3.02250e-01
-1.41310e+00  -2.89450e-01
-1.38560e+00  -2.50000e-01
-1.38520e+00  -2.87950e-01
-1.40140e+00  -3.20000e-01
-1.40870e+00  -3.12100e-01
-1.42850e+00  -3.34350e-01
-1.41100e+00  -3.38000e-01
-1.40950e+00  -3.43150e-01
-1.39970e+00  -3.02200e-01
-1.40180e+00  -3.08350e-01
-1.41960e+00  -3.41250e-01
-1.42260e+00  -3.68600e-01
-1.41760e+00  -3.51850e-01
-1.40420e+00  -3.18200e-01
-1.41070e+00  -3.28950e-01
-1.44740e+00  -3.42400e-01
-1.38800e+00  -3.01900e-01
-1.40660e+00  -3.19750e-01
-1.42280e+00  -3.03650e-01
-1.41690e+00  -2.96400e-01
-1.39280e+00  -3.34450e-01
-1.41310e+00  -3.41100e-01
-1.39380e+00  -2.88750e-01
-1.38790e+00  -2.50150e-01
-1.39800e+00  -2.67300e-01
-1.36330e+00  -2.55100e-01
-1.40880e+00  -2.46700e-01
-1.37700e+00  -2.30050e-01
-1.38200e+00  -1.98150e-01
-1.39040e+00  -2.22850e-01
-1.39650e+00  -2.05650e-01
-1.37900e+00  -2.05450e-01
-1.38790e+00  -1.81200e-01
-1.37980e+00  -1.98200e-01
-1.38300e+00  -1.89800e-01
-1.36340e+00  -1.81950e-01
-1.36780e+00  -1.51050e-01
-1.37980e+00  -1.17250e-01
-1.38080e+00  -1.17100e-01
-1.38320e+00  -1.10600e-01
-1.38230e+00  -1.38450e-01
-1.40220e+00  -1.27750e-01
-1.38400e+00  -1.25800e-01
-1.38990e+00  -1.35800e-01
-1.36430e+00  -1.48250e-01
-1.36820e+00  -1.56000e-01
-1.40360e+00  -1.37050e-01
-1.39730e+00  -1.49050e-01
-1.39580e+00  -1.91100e-01
-1.42200e+00  -2.22900e-01
-1.40040e+00  -2.15700e-01
-1.41190e+00  -2.50100e-01
-1.38010e+00  -2.51150e-01
-1.38330e+00  -2.77900e-01
-1.41050e+00  -2.96900e-01
-1.38920e+00  -3.00900e-01
-1.38740e+00  -2.48000e-01
-1.39310e+00  -2.72250e-01
-1.41730e+00  -2.61450e-01
-1.40510e+00  -2.60850e-01
-1.37670e+00  -2.62150e-01
-1.39340e+00  -2.68850e-01
-1.40550e+00  -3.30800e-01
-1.42530e+00  -3.05000e-01
-1.40750e+00  -2.59200e-01
-1.41270e+00  -2.47350e-01
-1.39930e+00  -2.69600e-01
-1.38970e+00  -2.63650e-01
-1.40020e+00  -2.55100e-01
-1.41750e+00  -2.34950e-01
-1.41740e+00  -2.41200e-01
-1.38080e+00  -2.19500e-01
-1.41900e+00  -2.28050e-01
-1.41270e+00  -2.25000e-01
-1.41990e+00  -2.33300e-01
-1.40840e+00  -2.31200e-01
-1.38960e+00  -2.06350e-01
-1.39660e+00  -1.75700e-01
-1.40050e+00  -1.97500e-01
-1.37200e+00  -1.76300e-01
-1.37290e+00  -1.74950e-01
-1.39080e+00  -1.56000e-01
-1.38550e+00  -1.69200e-01
-1.39380e+00  -1.77850e-01
-1.39520e+00  -1.66600e-01
-1.40230e+00  -1.48800e-01
-1.39040e+00  -1.55500e-01
-1.39930e+00  -1.51800e-01
-1.39590e+00  -1.43600e-01
-1.39730e+00  -1.21450e-01
-1.40680e+00  -1.13850e-01
-1.39930e+00  -1.06900e-01
-1.39420e+00  -8.97000e-02
-1.39250e+00  -7.05500e-02
-1.40920e+00  -9.37000e-02
-1.39070e+00  -1.30850e-01
-1.40240e+00  -1.53450e-01
-1.39510e+00  -1.92200e-01
-1.40900e+00  -2.24850e-01
-1.38550e+00  -2.38850e-01
-1.39000e+00  -1.97600e-01
-1.40430e+00  -1.94100e-01
-1.40320e+00  -2.20500e-01
-1.38390e+00  -2.33100e-01
-1.37370e+00  -2.48500e-01
-1.37860e+00  -2.54900e-01
