T=2.20000e+00  B=0.00000e+00  Ns=40000  E_exact=-1.54649e+00  M_exact=7.84755e-01
     E           M        
--------------------------
-1.57100e+00  -8.08750e-01
-1.54810e+00  -7.96000e-01
-1.54570e+00  -7.88050e-01
-1.54000e+00  -7.85950e-01
-1.54690e+00  -7.98300e-01
-1.54380e+00  -7.90000e-01
-1.54560e+00  -7.88950e-01
-1.55800e+00  -8.03600e-01
-1.54390e+00  -7.96200e-01
-1.55930e+00  -7.86300e-01
-1.55420e+00  -7.89950e-01
-1.54870e+00  -7.75650e-01
-1.53750e+00  -7.74600e-01
-1.53350e+00  -7.68400e-01
-1.51900e+00  -7.61100e-01
-1.55980e+00  -7.88150e-01
-1.55570e+00  -7.94700e-01
-1.54140e+00  -7.86900e-01
-1.54710e+00  -7.92350e-01
-1.54490e+00  -7.86100e-01
-1.54700e+00  -7.96600e-01
-1.55090e+00  -7.86450e-01
-1.53470e+00  -7.83450e-01
-1.56330e+00  -8.06500e-01
-1.51950e+00  -7.51900e-01
-1.54660e+00  -7.76350e-01
-1.54150e+00  -7.77550e-01
-1.55170e+00  -7.79550e-01
-1.56010e+00  -7.88350e-01
-1.54830e+00  -7.75150e-01
-1.54800e+00  -7.77000e-01
-1.55750e+00  -7.84700e-01
-1.51610e+00  -7.41300e-01
-1.52690e+00  -7.46900e-01
-1.55930e+00  -7.67850e-01
-1.54780e+00  -7.70200e-01
-1.52540e+00  -7.56750e-01
-1.56020e+00  -7.70250e-01
-1.52630e+00  -7.67250e-01
-1.55060e+00  -7.77050e-01
-1.53940e+00  -7.79200e-01
-1.49710e+00  -7.42300e-01
-1.54150e+00  -7.70200e-01
-1.54050e+00  -7.76200e-01
-1.52560e+00  -7.53200e-01
-1.53040e+00  -7.57850e-01
-1.53270e+00  -7.72100e-01
-1.52830e+00  -7.65750e-01
-1.53430e+00  -7.80250e-01
-1.53760e+00  -7.69050e-01
-1.52250e+00  -7.65100e-01
-1.52000e+00  -7.58950e-01
-1.52340e+00  -7.70450e-01
-1.55200e+00  -7.83200e-01
-1.52900e+00  -7.61200e-01
-1.54220e+00  -7.82550e-01
-1.55880e+00  -8.04850e-01
-1.55170e+00  -7.91950e-01
-1.52790e+00  -7.62350e-01
-1.54150e+00  -7.59550e-01
-1.53890e+00  -7.85400e-01
-1.54770e+00  -7.85750e-01
-1.54910e+00  -7.99700e-01
-1.55750e+00  -8.10400e-01
-1.55760e+00  -8.07950e-01
-1.56440e+00  -8.12600e-01
-1.53810e+00  -7.77300e-01
-1.51360e+00  -7.53300e-01
-1.52040e+00  -7.61950e-01
-1.51480e+00  -7.58450e-01
-1.53800e+00  -7.74500e-01
-1.53940e+00  -7.84800e-01
-1.54360e+00  -7.94150e-01
-1.55090e+00  -7.96650e-01
-1.55950e+00  -8.03050e-01
-1.51880e+00  -7.68550e-01
-1.51000e+00  -7.63750e-01
-1.53100e+00  -7.62050e-01
-1.54070e+00  -7.68050e-01
-1.54400e+00  -7.78700e-01
-1.54900e+00  -7.71550e-01
-1.53670e+00  -7.81750e-01
-1.53710e+00  -7.80150e-01
-1.53110e+00  -7.62750e-01
-1.54260e+00  -7.69650e-01
-1.54310e+00  -7.84950e-01
-1.55190e+00  -7.74850e-01
-1.51230e+00  -7.54700e-01
-1.54060e+00  -7.70400e-01
-1.54610e+00  -7.72450e-01
-1.54950e+00  -7.81050e-01
-1.55760e+00  -7.87200e-01
-1.53350e+00  -7.68350e-01
