T=2.00000e+00  B=0.00000e+00  ns=16384  E_exact=-1.74556e+00  M_exact=9.11319e-01
     E           M        
--------------------------
-1.76294e+00  9.18335e-01
-1.75317e+00  9.16626e-01
-1.73926e+00  9.01733e-01
-1.75171e+00  9.13818e-01
-1.74756e+00  9.13452e-01
-1.76392e+00  9.21143e-01
-1.75439e+00  9.16504e-01
-1.74731e+00  9.18213e-01
-1.73047e+00  9.08569e-01
-1.74634e+00  9.15039e-01
-1.73779e+00  9.04663e-01
-1.76050e+00  9.21631e-01
-1.73364e+00  9.10889e-01
-1.76172e+00  9.14307e-01
-1.75513e+00  9.13208e-01
-1.76953e+00  9.22974e-01
-1.72559e+00  9.01855e-01
-1.75488e+00  9.15771e-01
-1.72778e+00  9.07471e-01
-1.74023e+00  9.14307e-01
-1.73218e+00  9.07715e-01
-1.75659e+00  9.15039e-01
-1.72681e+00  9.05884e-01
-1.76465e+00  9.18457e-01
-1.75342e+00  9.11865e-01
-1.76636e+00  9.21753e-01
-1.73315e+00  9.07349e-01
-1.73022e+00  9.07715e-01
-1.75879e+00  9.14062e-01
-1.75537e+00  9.17114e-01
-1.74097e+00  9.10645e-01
-1.77148e+00  9.27002e-01
-1.75757e+00  9.17725e-01
-1.72925e+00  9.00146e-01
-1.75439e+00  9.18213e-01
-1.75342e+00  9.15894e-01
-1.76416e+00  9.21875e-01
-1.72607e+00  8.99902e-01
-1.74170e+00  9.09668e-01
-1.75391e+00  9.18701e-01
-1.75562e+00  9.15283e-01
-1.73413e+00  9.04785e-01
-1.75146e+00  9.11621e-01
-1.70605e+00  8.89282e-01
-1.74707e+00  9.11011e-01
-1.74609e+00  9.15405e-01
-1.71655e+00  9.00391e-01
-1.72754e+00  9.00635e-01
-1.72949e+00  9.07837e-01
-1.72559e+00  9.07715e-01
-1.74927e+00  9.15649e-01
-1.73364e+00  9.10645e-01
-1.75830e+00  9.17114e-01
-1.72998e+00  9.05884e-01
-1.74512e+00  9.12109e-01
-1.73999e+00  9.09180e-01
-1.77393e+00  9.24805e-01
-1.75024e+00  9.12109e-01
-1.74805e+00  9.12109e-01
-1.74072e+00  9.17236e-01
-1.74463e+00  9.11255e-01
-1.73242e+00  9.07837e-01
-1.72681e+00  8.92944e-01
-1.74316e+00  9.12598e-01
-1.74731e+00  9.17603e-01
-1.73486e+00  9.07593e-01
-1.76660e+00  9.12720e-01
-1.73779e+00  9.07104e-01
-1.73315e+00  9.05518e-01
-1.76367e+00  9.18335e-01
