T=2.26900e+00  B=0.00000e+00  ns=262144  E_exact=-1.41511e+00  M_exact=3.76889e-01
     E           M        
--------------------------
-1.41048e+00  -1.81526e-01
-1.40613e+00  -1.84441e-01
-1.39981e+00  -1.84326e-01
-1.40953e+00  -1.79092e-01
-1.40189e+00  -1.81046e-01
-1.39731e+00  -1.73340e-01
-1.40912e+00  -1.89720e-01
-1.40285e+00  -1.88423e-01
-1.40657e+00  -1.81671e-01
-1.40529e+00  -1.91429e-01
-1.40160e+00  -1.82495e-01
-1.40823e+00  -1.78146e-01
-1.40443e+00  -1.78108e-01
-1.40015e+00  -1.82922e-01
-1.41191e+00  -1.85509e-01
-1.40726e+00  -1.97311e-01
-1.40863e+00  -1.85982e-01
-1.40994e+00  -1.78459e-01
-1.40379e+00  -1.73195e-01
-1.40782e+00  -1.59447e-01
-1.40149e+00  -1.65077e-01
-1.40802e+00  -1.68999e-01
-1.41031e+00  -1.62086e-01
-1.41417e+00  -1.67458e-01
-1.40370e+00  -1.65489e-01
-1.41095e+00  -1.73439e-01
-1.40288e+00  -1.74194e-01
-1.40492e+00  -1.72798e-01
-1.41754e+00  -1.80183e-01
-1.40599e+00  -1.93352e-01
-1.40523e+00  -1.85722e-01
-1.40710e+00  -1.83624e-01
-1.41493e+00  -1.74454e-01
-1.40193e+00  -1.81969e-01
-1.40446e+00  -1.86043e-01
-1.40050e+00  -1.73180e-01
-1.40298e+00  -1.76895e-01
-1.40788e+00  -1.70631e-01
-1.40874e+00  -1.87912e-01
-1.41000e+00  -1.92314e-01
-1.41098e+00  -1.88469e-01
-1.41290e+00  -1.99051e-01
-1.41560e+00  -2.02904e-01
-1.40714e+00  -2.03926e-01
-1.40472e+00  -1.95641e-01
-1.39825e+00  -1.93756e-01
-1.40198e+00  -1.99638e-01
-1.40312e+00  -1.90483e-01
-1.41689e+00  -1.94130e-01
-1.39896e+00  -1.96045e-01
-1.40538e+00  -2.02324e-01
-1.40215e+00  -2.02087e-01
-1.40387e+00  -1.89697e-01
-1.40013e+00  -1.94298e-01
-1.39842e+00  -1.90834e-01
-1.39786e+00  -2.04247e-01
-1.40359e+00  -2.06718e-01
-1.42365e+00  -2.06490e-01
-1.41362e+00  -2.08351e-01
-1.40141e+00  -1.95343e-01
-1.41208e+00  -2.16370e-01
-1.40489e+00  -2.13615e-01
-1.41167e+00  -1.92474e-01
-1.41335e+00  -1.89224e-01
-1.40477e+00  -1.76491e-01
-1.40669e+00  -1.90948e-01
-1.40436e+00  -1.82999e-01
-1.40317e+00  -1.94969e-01
-1.40396e+00  -1.88866e-01
-1.40881e+00  -1.88553e-01
-1.40584e+00  -1.97174e-01
-1.40036e+00  -1.97121e-01
-1.40489e+00  -1.89102e-01
-1.40770e+00  -2.00638e-01
-1.40453e+00  -2.15858e-01
-1.40649e+00  -2.22435e-01
-1.40892e+00  -2.19193e-01
-1.40910e+00  -2.06291e-01
-1.40685e+00  -2.03735e-01
-1.40828e+00  -1.97174e-01
-1.41393e+00  -1.89987e-01
-1.40906e+00  -1.93138e-01
-1.40639e+00  -2.10846e-01
-1.40443e+00  -2.06154e-01
-1.41081e+00  -2.11411e-01
-1.40154e+00  -2.12746e-01
-1.41444e+00  -2.09251e-01
-1.41591e+00  -2.14920e-01
-1.41530e+00  -2.29950e-01
-1.41223e+00  -2.41356e-01
-1.40979e+00  -2.40913e-01
-1.41136e+00  -2.45857e-01
-1.40674e+00  -2.30560e-01
-1.40842e+00  -2.20581e-01
-1.40114e+00  -2.18544e-01
-1.40547e+00  -2.23671e-01
-1.40356e+00  -2.27058e-01
-1.39471e+00  -2.26234e-01
-1.39832e+00  -2.35268e-01
-1.40404e+00  -2.52510e-01
-1.40744e+00  -2.58270e-01
-1.40488e+00  -2.58705e-01
-1.40417e+00  -2.63245e-01
-1.40833e+00  -2.70172e-01
-1.40839e+00  -2.67342e-01
-1.40486e+00  -2.68661e-01
-1.40761e+00  -2.73056e-01
-1.40202e+00  -2.81998e-01
-1.40115e+00  -2.65877e-01
-1.39839e+00  -2.56447e-01
-1.39688e+00  -2.72415e-01
-1.40013e+00  -2.61185e-01
-1.39572e+00  -2.68661e-01
-1.41270e+00  -2.87254e-01
-1.39696e+00  -2.91542e-01
-1.40077e+00  -2.86415e-01
-1.40002e+00  -2.81319e-01
-1.40030e+00  -2.85797e-01
-1.40736e+00  -2.97508e-01
-1.40819e+00  -2.97569e-01
-1.41124e+00  -2.88307e-01
-1.40634e+00  -2.90512e-01
-1.41866e+00  -2.79846e-01
-1.40240e+00  -2.65076e-01
-1.40405e+00  -2.72385e-01
-1.40611e+00  -2.64755e-01
-1.40053e+00  -2.49535e-01
-1.40402e+00  -2.54982e-01
-1.40979e+00  -2.56050e-01
-1.39828e+00  -2.65297e-01
-1.39491e+00  -2.59888e-01
-1.40393e+00  -2.68692e-01
-1.39722e+00  -2.48825e-01
-1.39778e+00  -2.60246e-01
-1.40126e+00  -2.76680e-01
-1.39545e+00  -2.69691e-01
-1.39307e+00  -2.65068e-01
-1.40038e+00  -2.60170e-01
-1.39903e+00  -2.51930e-01
-1.39772e+00  -2.70973e-01
-1.40390e+00  -2.70271e-01
-1.39531e+00  -2.82425e-01
-1.39536e+00  -2.90535e-01
-1.39903e+00  -2.91794e-01
-1.39857e+00  -2.97508e-01
-1.40256e+00  -2.91702e-01
-1.39349e+00  -2.85217e-01
-1.39883e+00  -2.77946e-01
-1.40005e+00  -2.91428e-01
-1.40038e+00  -2.91817e-01
-1.40834e+00  -3.03406e-01
-1.40509e+00  -2.88803e-01
-1.40858e+00  -2.98416e-01
-1.40787e+00  -2.98996e-01
-1.40500e+00  -3.10371e-01
-1.40208e+00  -3.09464e-01
-1.40918e+00  -2.97523e-01
-1.41467e+00  -3.00842e-01
-1.40425e+00  -2.95502e-01
-1.40155e+00  -3.03589e-01
-1.40100e+00  -3.09212e-01
-1.41562e+00  -3.18047e-01
-1.41422e+00  -3.14178e-01
-1.41556e+00  -3.11066e-01
-1.41904e+00  -3.07411e-01
-1.41098e+00  -3.03040e-01
-1.42378e+00  -3.03528e-01
-1.41850e+00  -3.18321e-01
-1.41681e+00  -3.09540e-01
-1.41908e+00  -3.12386e-01
-1.41743e+00  -3.20763e-01
-1.40649e+00  -3.16864e-01
-1.41003e+00  -3.12996e-01
-1.41684e+00  -3.21312e-01
-1.40837e+00  -3.25455e-01
-1.41524e+00  -3.14308e-01
-1.41109e+00  -3.14224e-01
-1.41701e+00  -3.07922e-01
-1.41792e+00  -3.28651e-01
-1.41331e+00  -3.07129e-01
-1.40691e+00  -2.87689e-01
-1.41333e+00  -2.93633e-01
-1.40332e+00  -3.07182e-01
-1.40919e+00  -3.06038e-01
-1.39702e+00  -3.06358e-01
-1.40805e+00  -3.08395e-01
-1.40085e+00  -3.14156e-01
-1.40532e+00  -3.11752e-01
-1.40868e+00  -3.18336e-01
-1.40637e+00  -3.15796e-01
-1.41170e+00  -3.21312e-01
-1.40904e+00  -3.24425e-01
-1.40703e+00  -3.24951e-01
-1.40674e+00  -3.23982e-01
-1.40555e+00  -3.35899e-01
-1.40533e+00  -3.19824e-01
-1.41646e+00  -3.35594e-01
-1.41626e+00  -3.55293e-01
-1.40709e+00  -3.46733e-01
-1.41107e+00  -3.54301e-01
-1.40439e+00  -3.39897e-01
-1.41171e+00  -3.52661e-01
-1.41069e+00  -3.46703e-01
-1.40865e+00  -3.46703e-01
-1.40939e+00  -3.51326e-01
-1.40877e+00  -3.48969e-01
-1.42021e+00  -3.55377e-01
-1.40997e+00  -3.59123e-01
-1.41942e+00  -3.42583e-01
-1.41039e+00  -3.40881e-01
-1.40251e+00  -3.25493e-01
-1.41124e+00  -3.25943e-01
-1.41225e+00  -3.30322e-01
-1.40724e+00  -3.15460e-01
-1.40593e+00  -3.10120e-01
-1.40794e+00  -3.11241e-01
-1.41107e+00  -3.03673e-01
-1.41066e+00  -3.06816e-01
-1.40958e+00  -3.10753e-01
-1.40770e+00  -3.01476e-01
-1.40997e+00  -3.16154e-01
-1.41071e+00  -3.23196e-01
-1.40268e+00  -3.17757e-01
-1.40741e+00  -3.09883e-01
-1.40982e+00  -3.22624e-01
-1.41013e+00  -3.41446e-01
-1.41330e+00  -3.36380e-01
-1.40958e+00  -3.40393e-01
-1.41312e+00  -3.37959e-01
-1.42651e+00  -3.52661e-01
-1.41559e+00  -3.35983e-01
-1.41165e+00  -3.37219e-01
-1.40416e+00  -3.29704e-01
-1.39468e+00  -3.29681e-01
-1.40202e+00  -3.30742e-01
-1.39803e+00  -3.19786e-01
-1.40466e+00  -3.23059e-01
-1.41020e+00  -3.27362e-01
-1.41495e+00  -3.37723e-01
-1.40556e+00  -3.28957e-01
-1.40503e+00  -3.29514e-01
-1.41446e+00  -3.47977e-01
-1.41113e+00  -3.48335e-01
-1.41147e+00  -3.46275e-01
-1.39973e+00  -3.41019e-01
-1.41040e+00  -3.51768e-01
-1.40622e+00  -3.39165e-01
-1.40793e+00  -3.50342e-01
-1.41283e+00  -3.55782e-01
-1.40591e+00  -3.59016e-01
-1.39972e+00  -3.63251e-01
-1.40504e+00  -3.78067e-01
-1.41090e+00  -3.75771e-01
-1.41737e+00  -3.77113e-01
-1.40550e+00  -3.68088e-01
-1.40701e+00  -3.63594e-01
-1.39917e+00  -3.55202e-01
-1.40936e+00  -3.60031e-01
-1.41185e+00  -3.67493e-01
-1.41090e+00  -3.67798e-01
-1.40976e+00  -3.68431e-01
-1.40897e+00  -3.83224e-01
-1.40396e+00  -3.59718e-01
-1.40508e+00  -3.53546e-01
-1.41269e+00  -3.53668e-01
-1.41364e+00  -3.47534e-01
-1.40245e+00  -3.35197e-01
-1.40927e+00  -3.23845e-01
-1.40298e+00  -3.32771e-01
-1.41324e+00  -3.52859e-01
-1.40311e+00  -3.47618e-01
-1.41125e+00  -3.51768e-01
-1.40819e+00  -3.58932e-01
-1.41521e+00  -3.65334e-01
-1.42062e+00  -3.66936e-01
-1.40796e+00  -3.62305e-01
-1.41281e+00  -3.58459e-01
-1.42056e+00  -3.70827e-01
-1.41510e+00  -3.62984e-01
-1.40764e+00  -3.52707e-01
-1.40695e+00  -3.46329e-01
-1.41310e+00  -3.52089e-01
-1.40932e+00  -3.56415e-01
-1.40782e+00  -3.40485e-01
-1.41420e+00  -3.34740e-01
-1.41063e+00  -3.30513e-01
-1.41568e+00  -3.39035e-01
-1.40887e+00  -3.40836e-01
-1.40739e+00  -3.30193e-01
-1.41104e+00  -3.44994e-01
-1.40750e+00  -3.36845e-01
-1.41019e+00  -3.32146e-01
-1.41582e+00  -3.38776e-01
-1.41179e+00  -3.31100e-01
-1.41722e+00  -3.45078e-01
-1.41409e+00  -3.39088e-01
-1.42061e+00  -3.46313e-01
-1.41771e+00  -3.48633e-01
-1.41960e+00  -3.54622e-01
-1.40979e+00  -3.39348e-01
-1.40312e+00  -3.40256e-01
-1.40858e+00  -3.53310e-01
-1.41603e+00  -3.47023e-01
-1.40396e+00  -3.41164e-01
-1.42050e+00  -3.47412e-01
-1.42018e+00  -3.47275e-01
-1.40889e+00  -3.33321e-01
-1.40652e+00  -3.33305e-01
-1.41486e+00  -3.28644e-01
-1.42476e+00  -3.34587e-01
-1.41873e+00  -3.22334e-01
-1.41545e+00  -3.01086e-01
-1.39952e+00  -3.01476e-01
-1.40370e+00  -3.10013e-01
-1.40540e+00  -3.18573e-01
-1.40977e+00  -3.16055e-01
-1.40425e+00  -3.13034e-01
-1.41235e+00  -3.11539e-01
